Sources,Sinks,Stations,Algo,PathLength,PathWeight,L2_Diff,MaxFlowBase,MaxFlowNew
"[1, 6, 17]",[13],"{0, 1, 2, 3}",Random1,9,37.03,0.00039999999999999183,9.19,9.09
"[1, 6, 17]",[13],"{0, 1, 2, 3}",Random2,9,37.03,9.999999999995132e-05,8.92,8.98
"[1, 6, 17]",[13],"{0, 1, 2, 3}",Random3,9,37.03,0.0008999999999999217,8.98,8.96
"[1, 6, 17]",[13],"[0, 7, 19, 12]",Greedy1,6,25.76,4.930380657631324e-32,8.66,8.55
"[1, 6, 17]",[13],"[0, 4, 7, 17]",Greedy2,7,24.15,0.0025000000000000044,9.36,9.29
"[1, 6, 17]",[13],"[3, 7, 18, 23]",Greedy3,7,30.59,7.888609052210118e-31,8.79,8.75
"[1, 6, 17]",[13],"[3, 22, 7, 19]",Heuristic1,6,25.76,0.0003999999999999563,8.85,8.75
"[1, 6, 17]",[13],"[8, 10, 14, 15]",Heuristic2,6,25.76,9.999999999998241e-05,9.1,9.27
"[1, 6, 17]",[13],"[4, 10, 16, 21]",Heuristic3,6,27.37,9.999999999998241e-05,9.0,8.92
"[19, 20]","[0, 2]","{0, 1, 2, 3}",Random1,6,22.54,4.437342591868191e-31,10.83,10.92
"[19, 20]","[0, 2]","{0, 1, 2, 3}",Random2,6,22.54,0.0008999999999997351,10.9,10.84
"[19, 20]","[0, 2]","{0, 1, 2, 3}",Random3,6,22.54,0.0004000000000000007,10.85,10.93
"[19, 20]","[0, 2]","[0, 7, 19, 12]",Greedy1,6,22.54,0.00039999999999990304,11.51,11.53
"[19, 20]","[0, 2]","[0, 4, 7, 17]",Greedy2,9,40.25,0.0008999999999999749,11.05,10.93
"[19, 20]","[0, 2]","[3, 7, 18, 23]",Greedy3,6,22.54,0.00040000000000003623,10.57,10.63
"[19, 20]","[0, 2]","[3, 22, 7, 19]",Heuristic1,8,41.86,9.999999999999574e-05,11.75,11.53
"[19, 20]","[0, 2]","[8, 10, 14, 15]",Heuristic2,8,37.03,9.999999999998241e-05,11.04,10.92
"[19, 20]","[0, 2]","[4, 10, 16, 21]",Heuristic3,8,28.98,1.9721522630525295e-31,10.79,10.74
"[5, 6]","[11, 12]","{0, 1, 2, 3}",Random1,9,35.42,0.0004000000000000096,9.37,9.45
"[5, 6]","[11, 12]","{0, 1, 2, 3}",Random2,9,35.42,9.999999999999574e-05,9.23,9.4
"[5, 6]","[11, 12]","{0, 1, 2, 3}",Random3,9,35.42,0.000400000000000054,9.31,9.29
"[5, 6]","[11, 12]","[0, 7, 19, 12]",Greedy1,7,30.59,0.0009000000000000416,9.62,9.68
"[5, 6]","[11, 12]","[0, 4, 7, 17]",Greedy2,7,30.59,0.0008999999999999483,9.59,9.62
"[5, 6]","[11, 12]","[3, 7, 18, 23]",Greedy3,7,30.59,0.0009000000000000548,9.69,9.76
"[5, 6]","[11, 12]","[3, 22, 7, 19]",Heuristic1,7,30.59,9.999999999997797e-05,9.65,9.61
"[5, 6]","[11, 12]","[8, 10, 14, 15]",Heuristic2,8,37.03,9.9999999999938e-05,9.05,9.19
"[5, 6]","[11, 12]","[4, 10, 16, 21]",Heuristic3,8,32.2,0.0015999999999998962,9.24,9.2
"[16, 18]","[2, 3]","{0, 1, 2, 3}",Random1,8,27.37,9.999999999995577e-05,10.53,10.65
"[16, 18]","[2, 3]","{0, 1, 2, 3}",Random2,8,27.37,1.232595164407831e-30,10.66,10.65
"[16, 18]","[2, 3]","{0, 1, 2, 3}",Random3,8,27.37,9.999999999997797e-05,10.58,10.66
"[16, 18]","[2, 3]","[0, 7, 19, 12]",Greedy1,8,27.37,0.0,10.65,10.71
"[16, 18]","[2, 3]","[0, 4, 7, 17]",Greedy2,8,27.37,4.437342591868191e-31,10.66,10.57
"[16, 18]","[2, 3]","[3, 7, 18, 23]",Greedy3,8,27.37,9.999999999999129e-05,11.29,11.15
"[16, 18]","[2, 3]","[3, 22, 7, 19]",Heuristic1,8,27.37,0.0001000000000000135,10.53,10.69
"[16, 18]","[2, 3]","[8, 10, 14, 15]",Heuristic2,6,28.98,0.00010000000000002683,10.39,10.26
"[16, 18]","[2, 3]","[4, 10, 16, 21]",Heuristic3,6,28.98,0.00010000000000004015,10.39,10.51
"[11, 12]","[6, 17]","{0, 1, 2, 3}",Random1,10,38.64,0.0004000000000000007,11.3,11.31
"[11, 12]","[6, 17]","{0, 1, 2, 3}",Random2,10,38.64,9.999999999997797e-05,11.22,11.36
"[11, 12]","[6, 17]","{0, 1, 2, 3}",Random3,10,38.64,0.0004000000000000451,11.33,11.29
"[11, 12]","[6, 17]","[0, 7, 19, 12]",Greedy1,6,27.37,0.0001000000000000135,11.33,11.12
"[11, 12]","[6, 17]","[0, 4, 7, 17]",Greedy2,6,27.37,9.999999999998241e-05,11.45,11.31
"[11, 12]","[6, 17]","[3, 7, 18, 23]",Greedy3,6,27.37,0.00039999999999998294,10.74,10.44
"[11, 12]","[6, 17]","[3, 22, 7, 19]",Heuristic1,6,27.37,9.9999999999938e-05,11.43,11.33
"[11, 12]","[6, 17]","[8, 10, 14, 15]",Heuristic2,7,33.81,0.00010000000000002238,11.46,11.45
"[11, 12]","[6, 17]","[4, 10, 16, 21]",Heuristic3,7,28.98,0.00039999999999997405,11.26,11.27
