Sources,Sinks,Stations,Algo,PathLength,PathWeight,L2_Diff,MaxFlowBase,MaxFlowNew
"[1, 6, 17]",[13],"{16, 1, 11, 4}",Random1,7,24.15,0.00039999999999997405,8.85,8.77
"[1, 6, 17]",[13],"{16, 17, 22, 23}",Random2,6,27.37,0.0008999999999999749,10.36,10.45
"[1, 6, 17]",[13],"{8, 4, 20, 22}",Random3,6,27.37,0.00039999999999994744,8.98,9.04
"[1, 6, 17]",[13],"[0, 7, 19, 12]",Greedy1,6,25.76,0.00010000000000000906,8.13,8.31
"[1, 6, 17]",[13],"[0, 4, 7, 17]",Greedy2,7,24.15,9.999999999998241e-05,9.11,9.11
"[1, 6, 17]",[13],"[3, 7, 18, 23]",Greedy3,7,30.59,0.0004000000000000007,8.5,8.46
"[1, 6, 17]",[13],"[3, 22, 7, 19]",Heuristic1,6,25.76,9.999999999992913e-05,8.38,8.45
"[1, 6, 17]",[13],"[8, 10, 14, 15]",Heuristic2,6,25.76,4.437342591868191e-31,9.05,9.06
"[1, 6, 17]",[13],"[4, 10, 16, 21]",Heuristic3,6,27.37,0.00039999999999988526,8.9,8.92
"[19, 20]","[0, 2]","{16, 1, 11, 4}",Random1,6,22.54,0.00010000000000001793,11.0,10.96
"[19, 20]","[0, 2]","{16, 17, 22, 23}",Random2,6,22.54,0.00010000000000001793,10.15,10.05
"[19, 20]","[0, 2]","{8, 4, 20, 22}",Random3,6,22.54,0.0008999999999998883,10.97,10.86
"[19, 20]","[0, 2]","[0, 7, 19, 12]",Greedy1,6,22.54,0.0009000000000000682,11.97,12.08
"[19, 20]","[0, 2]","[0, 4, 7, 17]",Greedy2,9,40.25,0.00010000000000000906,11.08,10.95
"[19, 20]","[0, 2]","[3, 7, 18, 23]",Greedy3,6,22.54,0.00039999999999997405,10.26,10.02
"[19, 20]","[0, 2]","[3, 22, 7, 19]",Heuristic1,8,41.86,0.00039999999999993854,12.14,12.28
"[19, 20]","[0, 2]","[8, 10, 14, 15]",Heuristic2,8,37.03,1.9721522630525295e-31,10.93,10.74
"[19, 20]","[0, 2]","[4, 10, 16, 21]",Heuristic3,8,28.98,0.00040000000000001406,10.8,11.04
"[5, 6]","[11, 12]","{16, 1, 11, 4}",Random1,9,35.42,0.00040000000000003623,9.21,9.24
"[5, 6]","[11, 12]","{16, 17, 22, 23}",Random2,7,30.59,0.0003999999999999563,9.18,9.31
"[5, 6]","[11, 12]","{8, 4, 20, 22}",Random3,7,30.59,2.4158865222393487e-30,9.29,9.28
"[5, 6]","[11, 12]","[0, 7, 19, 12]",Greedy1,7,30.59,0.00039999999999990304,10.7,10.62
"[5, 6]","[11, 12]","[0, 4, 7, 17]",Greedy2,7,30.59,0.0008999999999998018,9.87,9.73
"[5, 6]","[11, 12]","[3, 7, 18, 23]",Greedy3,7,30.59,4.930380657631324e-32,10.68,10.74
"[5, 6]","[11, 12]","[3, 22, 7, 19]",Heuristic1,7,30.59,9.999999999997797e-05,10.6,10.55
"[5, 6]","[11, 12]","[8, 10, 14, 15]",Heuristic2,8,37.03,0.0008999999999999883,9.07,9.07
"[5, 6]","[11, 12]","[4, 10, 16, 21]",Heuristic3,8,32.2,9.999999999997354e-05,9.26,9.16
"[16, 18]","[2, 3]","{16, 1, 11, 4}",Random1,8,27.37,0.00010000000000004015,10.59,10.78
"[16, 18]","[2, 3]","{16, 17, 22, 23}",Random2,8,38.64,0.0001000000000000135,10.64,10.6
"[16, 18]","[2, 3]","{8, 4, 20, 22}",Random3,8,38.64,7.888609052210118e-31,10.4,10.41
"[16, 18]","[2, 3]","[0, 7, 19, 12]",Greedy1,8,27.37,0.0008999999999999217,10.66,10.7
"[16, 18]","[2, 3]","[0, 4, 7, 17]",Greedy2,8,27.37,7.888609052210118e-31,10.47,10.68
"[16, 18]","[2, 3]","[3, 7, 18, 23]",Greedy3,8,27.37,6.520428419717426e-30,11.87,11.81
"[16, 18]","[2, 3]","[3, 22, 7, 19]",Heuristic1,8,27.37,4.930380657631324e-32,10.75,10.65
"[16, 18]","[2, 3]","[8, 10, 14, 15]",Heuristic2,6,28.98,9.999999999994689e-05,9.82,10.07
"[16, 18]","[2, 3]","[4, 10, 16, 21]",Heuristic3,6,28.98,0.00039999999999998294,10.64,10.49
"[11, 12]","[6, 17]","{16, 1, 11, 4}",Random1,7,33.81,9.999999999996909e-05,13.14,13.08
"[11, 12]","[6, 17]","{16, 17, 22, 23}",Random2,6,27.37,9.999999999998686e-05,10.23,10.25
"[11, 12]","[6, 17]","{8, 4, 20, 22}",Random3,6,27.37,2.4158865222393487e-30,11.3,11.18
"[11, 12]","[6, 17]","[0, 7, 19, 12]",Greedy1,6,27.37,0.00010000000000000906,11.67,11.59
"[11, 12]","[6, 17]","[0, 4, 7, 17]",Greedy2,6,27.37,8.332343311396937e-30,11.31,11.28
"[11, 12]","[6, 17]","[3, 7, 18, 23]",Greedy3,6,27.37,0.0025000000000002264,10.07,10.27
"[11, 12]","[6, 17]","[3, 22, 7, 19]",Heuristic1,6,27.37,0.00039999999999987637,11.37,11.3
"[11, 12]","[6, 17]","[8, 10, 14, 15]",Heuristic2,7,33.81,0.00010000000000000906,11.4,11.38
"[11, 12]","[6, 17]","[4, 10, 16, 21]",Heuristic3,7,28.98,0.00040000000000003623,11.4,11.37
