Sources,Sinks,Stations,Algo,PathLength,PathWeight,L2_Diff,MaxFlowBase,MaxFlowNew
"[1, 6, 17]",[13],"{10, 4, 5, 14}",Random1,6,25.76,0.0009000000000000283,9.18,9.12
"[1, 6, 17]",[13],"{19, 18, 3, 22}",Random2,6,27.37,0.0008999999999999749,9.16,9.17
"[1, 6, 17]",[13],"{8, 3, 12, 15}",Random3,7,24.15,9.999999999999574e-05,9.18,9.14
"[1, 6, 17]",[13],"[0, 7, 19, 12]",Greedy1,6,25.76,9.999999999998241e-05,8.68,8.7
"[1, 6, 17]",[13],"[0, 4, 7, 17]",Greedy2,7,24.15,0.00010000000000001793,9.19,9.27
"[1, 6, 17]",[13],"[3, 7, 18, 23]",Greedy3,7,30.59,0.0009000000000000548,8.8,8.8
"[1, 6, 17]",[13],"[3, 22, 7, 19]",Heuristic1,6,25.76,4.437342591868191e-31,8.66,8.83
"[1, 6, 17]",[13],"[8, 10, 14, 15]",Heuristic2,6,25.76,0.0008999999999999883,9.14,9.21
"[1, 6, 17]",[13],"[4, 10, 16, 21]",Heuristic3,6,27.37,0.00040000000000001845,9.07,8.95
"[19, 20]","[0, 2]","{10, 4, 5, 14}",Random1,8,37.03,3.993608332681372e-30,10.75,10.84
"[19, 20]","[0, 2]","{19, 18, 3, 22}",Random2,8,28.98,2.4158865222393487e-30,11.63,11.65
"[19, 20]","[0, 2]","{8, 3, 12, 15}",Random3,6,22.54,1.9721522630525295e-31,10.79,10.86
"[19, 20]","[0, 2]","[0, 7, 19, 12]",Greedy1,6,22.54,0.00039999999999993854,11.58,11.6
"[19, 20]","[0, 2]","[0, 4, 7, 17]",Greedy2,9,40.25,0.00010000000000006679,11.05,10.92
"[19, 20]","[0, 2]","[3, 7, 18, 23]",Greedy3,6,22.54,0.00039999999999996516,10.59,10.47
"[19, 20]","[0, 2]","[3, 22, 7, 19]",Heuristic1,8,41.86,0.0004000000000000007,11.54,11.61
"[19, 20]","[0, 2]","[8, 10, 14, 15]",Heuristic2,8,37.03,0.00039999999999998294,10.95,10.9
"[19, 20]","[0, 2]","[4, 10, 16, 21]",Heuristic3,8,28.98,0.0025000000000002043,10.76,10.85
"[5, 6]","[11, 12]","{10, 4, 5, 14}",Random1,8,37.03,1.7749370367472766e-30,9.68,9.7
"[5, 6]","[11, 12]","{19, 18, 3, 22}",Random2,7,30.59,0.00039999999999992965,9.29,9.29
"[5, 6]","[11, 12]","{8, 3, 12, 15}",Random3,7,30.59,0.0009000000000000416,9.29,9.28
"[5, 6]","[11, 12]","[0, 7, 19, 12]",Greedy1,7,30.59,9.999999999995577e-05,9.7,9.67
"[5, 6]","[11, 12]","[0, 4, 7, 17]",Greedy2,7,30.59,0.00040000000000003623,9.53,9.55
"[5, 6]","[11, 12]","[3, 7, 18, 23]",Greedy3,7,30.59,0.0003999999999998231,9.78,9.72
"[5, 6]","[11, 12]","[3, 22, 7, 19]",Heuristic1,7,30.59,9.999999999999574e-05,9.66,9.54
"[5, 6]","[11, 12]","[8, 10, 14, 15]",Heuristic2,8,37.03,4.437342591868191e-31,9.2,9.16
"[5, 6]","[11, 12]","[4, 10, 16, 21]",Heuristic3,8,32.2,9.999999999994689e-05,9.38,9.31
"[16, 18]","[2, 3]","{10, 4, 5, 14}",Random1,6,28.98,0.0004000000000000451,10.68,10.53
"[16, 18]","[2, 3]","{19, 18, 3, 22}",Random2,8,38.64,4.930380657631324e-32,11.31,11.16
"[16, 18]","[2, 3]","{8, 3, 12, 15}",Random3,8,27.37,0.00010000000000000461,10.19,10.15
"[16, 18]","[2, 3]","[0, 7, 19, 12]",Greedy1,8,27.37,9.999999999993357e-05,10.61,10.72
"[16, 18]","[2, 3]","[0, 4, 7, 17]",Greedy2,8,27.37,9.999999999992025e-05,10.58,10.56
"[16, 18]","[2, 3]","[3, 7, 18, 23]",Greedy3,8,27.37,0.0004000000000000451,11.17,11.25
"[16, 18]","[2, 3]","[3, 22, 7, 19]",Heuristic1,8,27.37,9.999999999997354e-05,10.67,10.69
"[16, 18]","[2, 3]","[8, 10, 14, 15]",Heuristic2,6,28.98,0.0001000000000000357,10.22,10.27
"[16, 18]","[2, 3]","[4, 10, 16, 21]",Heuristic3,6,28.98,4.930380657631324e-32,10.42,10.49
"[11, 12]","[6, 17]","{10, 4, 5, 14}",Random1,7,33.81,9.999999999998241e-05,11.34,11.27
"[11, 12]","[6, 17]","{19, 18, 3, 22}",Random2,6,27.37,0.0016000000000000207,11.34,11.44
"[11, 12]","[6, 17]","{8, 3, 12, 15}",Random3,6,27.37,0.00010000000000003127,11.26,11.26
"[11, 12]","[6, 17]","[0, 7, 19, 12]",Greedy1,6,27.37,0.00039999999999996516,11.33,11.35
"[11, 12]","[6, 17]","[0, 4, 7, 17]",Greedy2,6,27.37,0.00010000000000000906,11.32,11.15
"[11, 12]","[6, 17]","[3, 7, 18, 23]",Greedy3,6,27.37,9.999999999999129e-05,10.44,10.55
"[11, 12]","[6, 17]","[3, 22, 7, 19]",Heuristic1,6,27.37,0.0001000000000000357,11.35,11.22
"[11, 12]","[6, 17]","[8, 10, 14, 15]",Heuristic2,7,33.81,0.00039999999999994744,11.42,11.09
"[11, 12]","[6, 17]","[4, 10, 16, 21]",Heuristic3,7,28.98,0.0001000000000000135,11.28,11.2
