Sources,Sinks,Stations,Algo,PathLength,PathWeight,L2_Diff,MaxFlowBase,MaxFlowNew,,,,,
"[1, 6, 17]",[13],"[0, 7, 19, 12]",Greedy1,6,25.76,4.93E-32,8.66,8.55,6.6,26.726,0.00028,10.354,10.318
"[19, 20]","[0, 2]","[0, 7, 19, 12]",Greedy1,6,22.54,0.0004,11.51,11.53,,,,,
"[5, 6]","[11, 12]","[0, 7, 19, 12]",Greedy1,7,30.59,0.0009,9.62,9.68,,,,,
"[16, 18]","[2, 3]","[0, 7, 19, 12]",Greedy1,8,27.37,0,10.65,10.71,,,,,
"[11, 12]","[6, 17]","[0, 7, 19, 12]",Greedy1,6,27.37,0.0001,11.33,11.12,,,,,
"[1, 6, 17]",[13],"[0, 4, 7, 17]",Greedy2,7,24.15,0.0025,9.36,9.29,7.4,29.946,0.00088,10.422,10.344
"[19, 20]","[0, 2]","[0, 4, 7, 17]",Greedy2,9,40.25,0.0009,11.05,10.93,,,,,
"[5, 6]","[11, 12]","[0, 4, 7, 17]",Greedy2,7,30.59,0.0009,9.59,9.62,,,,,
"[16, 18]","[2, 3]","[0, 4, 7, 17]",Greedy2,8,27.37,4.44E-31,10.66,10.57,,,,,
"[11, 12]","[6, 17]","[0, 4, 7, 17]",Greedy2,6,27.37,1.00E-04,11.45,11.31,,,,,
"[1, 6, 17]",[13],"[3, 7, 18, 23]",Greedy3,7,30.59,7.89E-31,8.79,8.75,6.8,27.692,0.00036,10.216,10.146
"[19, 20]","[0, 2]","[3, 7, 18, 23]",Greedy3,6,22.54,0.0004,10.57,10.63,,,,,
"[5, 6]","[11, 12]","[3, 7, 18, 23]",Greedy3,7,30.59,0.0009,9.69,9.76,,,,,
"[16, 18]","[2, 3]","[3, 7, 18, 23]",Greedy3,8,27.37,1.00E-04,11.29,11.15,,,,,
"[11, 12]","[6, 17]","[3, 7, 18, 23]",Greedy3,6,27.37,0.0004,10.74,10.44,,,,,
"[1, 6, 17]",[13],"[3, 22, 7, 19]",Heuristic1,6,25.76,0.0004,8.85,8.75,7,30.59,0.00016,10.442,10.382
"[19, 20]","[0, 2]","[3, 22, 7, 19]",Heuristic1,8,41.86,1.00E-04,11.75,11.53,,,,,
"[5, 6]","[11, 12]","[3, 22, 7, 19]",Heuristic1,7,30.59,1.00E-04,9.65,9.61,,,,,
"[16, 18]","[2, 3]","[3, 22, 7, 19]",Heuristic1,8,27.37,0.0001,10.53,10.69,,,,,
"[11, 12]","[6, 17]","[3, 22, 7, 19]",Heuristic1,6,27.37,1.00E-04,11.43,11.33,,,,,
"[1, 6, 17]",[13],"[8, 10, 14, 15]",Heuristic2,6,25.76,1.00E-04,9.1,9.27,7,32.522,1E-04,10.208,10.218
"[19, 20]","[0, 2]","[8, 10, 14, 15]",Heuristic2,8,37.03,1.00E-04,11.04,10.92,,,,,
"[5, 6]","[11, 12]","[8, 10, 14, 15]",Heuristic2,8,37.03,1.00E-04,9.05,9.19,,,,,
"[16, 18]","[2, 3]","[8, 10, 14, 15]",Heuristic2,6,28.98,0.0001,10.39,10.26,,,,,
"[11, 12]","[6, 17]","[8, 10, 14, 15]",Heuristic2,7,33.81,0.0001,11.46,11.45,,,,,
"[1, 6, 17]",[13],"[4, 10, 16, 21]",Heuristic3,6,27.37,1.00E-04,9,8.92,7,29.302,0.00044,10.136,10.128
"[19, 20]","[0, 2]","[4, 10, 16, 21]",Heuristic3,8,28.98,1.97E-31,10.79,10.74,,,,,
"[5, 6]","[11, 12]","[4, 10, 16, 21]",Heuristic3,8,32.2,0.0016,9.24,9.2,,,,,
"[16, 18]","[2, 3]","[4, 10, 16, 21]",Heuristic3,6,28.98,0.0001,10.39,10.51,,,,,
"[11, 12]","[6, 17]","[4, 10, 16, 21]",Heuristic3,7,28.98,0.0004,11.26,11.27,,,,,
"[1, 6, 17]",[13],"{0, 1, 2, 3}",Random1,9,37.03,0.0004,9.19,9.09,8.4,32.2,0.00026,10.244,10.284
"[19, 20]","[0, 2]","{0, 1, 2, 3}",Random1,6,22.54,4.44E-31,10.83,10.92,,,,,
"[5, 6]","[11, 12]","{0, 1, 2, 3}",Random1,9,35.42,0.0004,9.37,9.45,,,,,
"[16, 18]","[2, 3]","{0, 1, 2, 3}",Random1,8,27.37,1.00E-04,10.53,10.65,,,,,
"[11, 12]","[6, 17]","{0, 1, 2, 3}",Random1,10,38.64,0.0004,11.3,11.31,,,,,
"[1, 6, 17]",[13],"{0, 1, 2, 3}",Random2,9,37.03,1.00E-04,8.92,8.98,8.4,32.2,0.00024,10.186,10.246
"[19, 20]","[0, 2]","{0, 1, 2, 3}",Random2,6,22.54,0.0009,10.9,10.84,,,,,
"[5, 6]","[11, 12]","{0, 1, 2, 3}",Random2,9,35.42,1.00E-04,9.23,9.4,,,,,
"[16, 18]","[2, 3]","{0, 1, 2, 3}",Random2,8,27.37,1.23E-30,10.66,10.65,,,,,
"[11, 12]","[6, 17]","{0, 1, 2, 3}",Random2,10,38.64,1.00E-04,11.22,11.36,,,,,
"[1, 6, 17]",[13],"{0, 1, 2, 3}",Random3,9,37.03,0.0009,8.98,8.96,8.4,32.2,0.00044,10.21,10.226
"[19, 20]","[0, 2]","{0, 1, 2, 3}",Random3,6,22.54,0.0004,10.85,10.93,,,,,
"[5, 6]","[11, 12]","{0, 1, 2, 3}",Random3,9,35.42,0.0004,9.31,9.29,,,,,
"[16, 18]","[2, 3]","{0, 1, 2, 3}",Random3,8,27.37,1.00E-04,10.58,10.66,,,,,
"[11, 12]","[6, 17]","{0, 1, 2, 3}",Random3,10,38.64,0.0004,11.33,11.29,,,,,
