Algorithm,PathLength,PathWeight,L2_Diff,MaxFlowBase,MaxFlowNew,
Greedy1,6.6,26.726,0.00048,10.626,10.66,
Greedy2,7.4,29.946,0.00022,10.368,10.35,
Greedy3,6.8,27.692,0.00066,10.276,10.26,
Heuristic1,7,30.59,0.0002,10.648,10.646,
Heuristic2,7,32.522,0.00022,10.054,10.064,
Heuristic3,7,29.302,0.00034,10.2,10.196,
Random1,7.4,28.658,0.00022,10.558,10.566,
Random2,6.6,29.302,0.00032,10.112,10.132,
Random3,6.6,29.302,0.00026,10.188,10.154,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
